,sample_001,sample_002,sample_003,sample_004,sample_005,sample_006,sample_007,sample_008,sample_009,sample_010,sample_011,sample_012,sample_013,sample_014,sample_015,sample_016,sample_017,sample_018,sample_019,sample_020,sample_021,sample_022,sample_023,sample_024,sample_025,sample_026,sample_027,sample_028,sample_029,sample_030,sample_031,sample_032,sample_033,sample_034,sample_035,sample_036,sample_037,sample_038,sample_039,sample_040,sample_041,sample_042,sample_043,sample_044,sample_045,sample_046,sample_047,sample_048,sample_049,sample_050,sample_051,sample_052,sample_053,sample_054,sample_055,sample_056,sample_057,sample_058,sample_059,sample_060,sample_061,sample_062,sample_063,sample_064,sample_065,sample_066,sample_067,sample_068,sample_069,sample_070,sample_071,sample_072,sample_073,sample_074,sample_075,sample_076,sample_077,sample_078,sample_079,sample_080
2023-02-01,0.15968788120458213,0.21726809746776155,0.17315376131749513,0.25860316935965266,0.2303246207210643,0.282122836270206,0.12614820350150668,0.28041227295911364,0.4113744305390886,0.24252646694921376,0.1953166660327122,0.2793420027088874,0.19498801470471117,0.2782510583881914,0.06691825779542733,0.3126697703830967,0.16969281142405712,0.36918158251021416,0.17413448041048996,0.05511504513653389,0.03188825509794273,0.08904325597889698,0.09108906266848635,0.21423025213479602,0.027771069228361447,0.12344699265082071,0.13897476370231046,0.31571609496913333,0.07376491475515577,0.11503090556327818,0.1698573877568517,0.24577723023714396,0.13316049966632207,0.40056118777601923,0.22220175802594905,0.42088093811014177,0.06401433271453182,0.12297146731602512,0.2647701195623901,0.3079511834962485,0.2794681408582278,0.2163310044825364,0.20453587315724914,0.17638954047017613,0.2371073871067604,0.19753258110459265,0.2381058295575125,0.25795169964670644,0.03544600612363009,0.276854926345841,0.014785020925629668,0.11907052109716534,0.12120896805567963,0.11643784703170078,0.13977549472805667,0.18570230451235237,0.1294442661769118,0.24830476852042396,0.39080965282393,0.18603636829048598,0.16464193718100523,0.1365137908392564,0.2643553797645091,0.12382619356402501,0.07726272439209528,0.10570773774643623,0.22736007538462338,0.17186330310810086,0.3195384917425173,0.3423864778881887,0.29057895598311084,0.1638953531199275,0.1910356047087713,0.13722128252630725,0.0841414717035364,0.11935735354616195,0.23011471500511133,0.15807638206462293,0.2961249893899324,0.15462408395562416
2023-02-02,0.08173497580953831,0.17217647408854117,0.09550366157619211,0.19264677833560612,0.17884388700532414,0.23663711634065251,0.08700773271823334,0.21837190019538266,0.3528224417707269,0.18437571085983862,0.13131060058068109,0.22999438263128302,0.1267810737937414,0.23047889357867024,0.013789130917158152,0.26214738087642214,0.12478658370008618,0.3029695045470799,0.09736416053755323,0.003477764363940134,0.0003551306292832049,0.043608744657495035,0.024663429890377023,0.16038361621409974,0.0,0.058320793144868745,0.0670164789496151,0.2628846052692674,0.036134359103331175,0.07663158055226524,0.09463262875564805,0.19334564868929724,0.09008759066219338,0.33879494126526666,0.17906223167429247,0.3592851191950623,0.0033761205900028966,0.04359686889265691,0.20209193031299316,0.2548625928290735,0.2190275695503404,0.1719045098925542,0.15446783313690968,0.13583342912939805,0.19168696981413866,0.14228328539907395,0.1702873106180106,0.19351123622135696,0.0006725490710520493,0.22010280394628642,0.0,0.07149534188011118,0.04477055520638358,0.07256616034209541,0.0718564236449889,0.13056625135476999,0.0719630693481121,0.17626281802009894,0.3342497448563755,0.11787432644121695,0.10998487717442301,0.08179695645122641,0.21551068131492174,0.08457871323835606,0.01374096848125177,0.04903599862321182,0.18847667707223528,0.1362970849380875,0.2533732049953477,0.27303422800911636,0.23362364653173404,0.1244404833368875,0.12745442268024879,0.08681978745813272,0.01656972842970927,0.08636187280242931,0.16551805849137388,0.12255323868929542,0.21978999102674998,0.10374881562041785
2023-02-03,0.1444935349142044,0.19577102289735102,0.1518986813703953,0.22340893411121399,0.20393809607394955,0.26040269975735897,0.10796797082726385,0.24757901383732345,0.3822922871356058,0.21365091964892255,0.16082202007091423,0.25545142165155493,0.1689527699748618,0.2552425039421921,0.05778145927696393,0.2879858392655841,0.14803203763989314,0.33447987546115465,0.16063887623457346,0.04065941917550998,0.008147905690465928,0.06721753683182152,0.07760037061944257,0.1878461024222586,0.008545576816621112,0.11403863823332831,0.12716825141761795,0.2898913351128061,0.05584177025073309,0.09736971449656259,0.15668808204265322,0.22017336412163638,0.11281115372782557,0.3697345570501234,0.20181442441242378,0.39014642629242036,0.046166812204906635,0.10359247242303646,0.2317233747838042,0.281984587245033,0.24916699991831578,0.19521112463999304,0.1801890296456579,0.15748215658378914,0.21542412345098247,0.16853669290408485,0.2014008415457083,0.22242733482776544,0.012152585403346553,0.2483439746400126,0.0,0.09530034099194583,0.10532168817165288,0.0997038792589048,0.11987620811082135,0.15960682200329954,0.09981773898218138,0.20933121751250716,0.362905817521572,0.14908341668848557,0.13593834217870912,0.11226673709413756,0.24074581311873033,0.10567381891146543,0.06303012280930655,0.07692597443857534,0.20941830422795843,0.15585362436494268,0.28433709885390135,0.30501207206759623,0.2624929006663049,0.14562308564925466,0.15717675495890798,0.11112020804179545,0.06863001902782195,0.10486112768494883,0.19469290712426635,0.14209190014406375,0.2533677413540606,0.12813637691055654
2023-02-04,0.24094692755310637,0.04509401094450752,0.22560727984945828,0.19639894726763102,0.16578261617530418,0.08978285094254981,0.10687193006412674,0.2097874488870423,0.18016251936317862,0.13161065413928827,0.17342617846305627,0.13128117178548715,0.23300662926863885,0.12661279173723522,0.15027680297698054,0.1551830983301192,0.12209209048090375,0.23111172595161553,0.23781768021381905,0.14014844857220166,0.11938175957601083,0.09760222045389026,0.17302456325409174,0.11197444873255917,0.10675026347409394,0.19153496141953202,0.20342638228336185,0.1174329633302738,0.10679895556602743,0.021665985332920773,0.22712827615794204,0.09465892177982481,0.08288875820375198,0.17545637535756897,0.12090750660623528,0.1815322851996341,0.14794207023449615,0.2093614563442799,0.18562350801417524,0.12987567697410862,0.14782836116871176,0.02093168951178675,0.11879656807248756,0.001141818653081631,0.03370932084277297,0.16558609398544083,0.2001806853398985,0.24028060870282988,0.10204301762403441,0.15612101614226145,0.09413392917106748,0.11962623433115634,0.20372969608166422,0.16998336784452753,0.19645736749124376,0.21335852820785312,0.16928196200310924,0.19870177921912408,0.16875736535126598,0.19595177643815995,0.1874494503718573,0.18237450861507984,0.0991099912808942,0.015310457519933554,0.16103090326526373,0.15568254250471728,0.05637095183406868,0.05568041079842112,0.23010557386457703,0.25074375154865863,0.09572185110075701,0.03827744108588697,0.20993496082780042,0.1353337806434164,0.16805869187902475,0.05753521376144123,0.21976188710737032,0.011056492600172215,0.2546571792444269,0.1447337150960372
2023-02-05,0.345008889165548,0.21190024637983892,0.3383669760839046,0.3510362397659899,0.3062108013825536,0.2743060527035931,0.20794633235203727,0.3619002526670616,0.39753188530820244,0.3023879762755546,0.3073743905953998,0.3055473814638411,0.346147428107874,0.30007841616065745,0.20908118098321046,0.3363835429348453,0.2473785609423052,0.41834018725517824,0.3399487482385921,0.2047238069337035,0.17432528918404103,0.1954900055391295,0.25858261581716935,0.2730133735069896,0.15625783155994866,0.27509779079832075,0.29669676459477534,0.31242778794942866,0.17680562845823833,0.14286144698589248,0.3280505183699502,0.2695590915803065,0.20066689088312847,0.39300396167270824,0.26862741142565394,0.40455777608834526,0.22955218403749045,0.31857062358359906,0.3461108815328917,0.3191993582621368,0.33019523246304094,0.1929233311757375,0.2688635787794194,0.14906763631438227,0.2121837540613406,0.2936936721809113,0.34400078749333335,0.3678621406128193,0.16430478350497954,0.3297761716557578,0.1402882356025393,0.22455731431110013,0.30569035030221575,0.24068177187592654,0.2962550047808312,0.316006186195126,0.27118411228856826,0.35464302287147514,0.38026439614409474,0.3206102733914836,0.28827892708881675,0.2775083427305981,0.27660198654430257,0.1430602892402653,0.24029652114447791,0.2513666182228096,0.22018796076286856,0.19069260142054328,0.394509591213745,0.4183533319386745,0.2901753730447285,0.1786789484554074,0.32793184126407365,0.24421501717947977,0.25622628734033226,0.16366651824374942,0.3451193328570205,0.15374441334213124,0.4058502858756273,0.2576824549263577
2023-02-06,0.1922607516004325,0.31710772007954385,0.2116966806250804,0.32579485074280573,0.29628242388408754,0.39743710268680127,0.16365903538051518,0.3496144792716268,0.5444936266823558,0.3297541975459679,0.2438521834012747,0.3803521603528069,0.2343767170856586,0.38039151518192704,0.06829118723342412,0.41890470772560157,0.22415462728319896,0.46681364444210527,0.20779692824653676,0.059467875407212885,0.027858404712147518,0.11645256731994014,0.10830806274550003,0.29449416121936645,0.020819193117645237,0.14466443945808943,0.16691472017661854,0.4344086210383966,0.08246457219425668,0.18060224833351315,0.20319680688241315,0.3426913442171796,0.18405714519408653,0.530656208844706,0.30154897664405067,0.5558937881808258,0.07817934617335363,0.15344225443343829,0.33957381698502925,0.4201274583199797,0.3756647256531578,0.3238212504385633,0.27797514800010403,0.27928740633769616,0.3489177509136174,0.24842603968818094,0.29398168776107264,0.3024496075925767,0.03136889353004305,0.368729986794077,0.00276648369873501,0.15061580885824025,0.1509942963642425,0.12934209321537343,0.17067083325943397,0.21941910038226464,0.15536242625325863,0.3112092007466915,0.5208625972843013,0.22437964864178017,0.19359621708743685,0.16312073284240994,0.36846703621168125,0.195791939957655,0.08722296698683897,0.12641674790949564,0.3307585298756382,0.2500830197800895,0.3968796818272133,0.4196097997916537,0.4046813918075567,0.24410077478990974,0.2297307835980528,0.1705133076340914,0.0988623430790964,0.171483327489547,0.2721495153327153,0.24812154384672974,0.35175330251446174,0.19199857532848905
2023-02-07,0.15046246366699925,0.20150543459012044,0.16225274384008787,0.23761769915235303,0.21275510070984646,0.26621389198882606,0.11157710441227216,0.2605336469244619,0.3918477625443497,0.22306935603415928,0.17468670465407166,0.2623800381368243,0.18389068228161579,0.26169749488950295,0.06183320315013199,0.29521450103468644,0.15359180033724892,0.34819508493136353,0.16407619137308643,0.049366524961999454,0.02734636674113711,0.07282086464301368,0.08444105283167781,0.19611607656921676,0.02226740284592891,0.11459326608262685,0.12940440915048274,0.2979034067332266,0.05977091176575778,0.10095895922027195,0.1599303453441257,0.22806600332955337,0.11780177371062463,0.3801961535942066,0.20680497513598564,0.4005620784432406,0.05672622144972635,0.11568338306095849,0.24440364221432465,0.29005071437183944,0.2593570384033601,0.20078088288545445,0.18727708421967806,0.16185883909158721,0.22129047737046836,0.17906017657213527,0.21678378575402588,0.23885165773051392,0.0236014714022051,0.257764090963759,0.012663314684777311,0.10216025311143359,0.11325677464605731,0.10786173437981349,0.12967187626200438,0.17439985293793278,0.11626399062731353,0.22578752219525688,0.3719545856045294,0.16777325456122463,0.15042279644150972,0.12623009519340112,0.24756311291550187,0.10955534388242301,0.07173458534268527,0.09285597118427792,0.21317132509050843,0.15848923757441788,0.2987006298100744,0.3208656261502669,0.271727996473112,0.14955694288882454,0.1761989787430788,0.11967478002145131,0.07861105309899864,0.10659836515577249,0.21086205477597952,0.1447909231505791,0.2729398112648281,0.13706444557846478
2023-02-08,0.1389026500371197,0.19534120411769035,0.14981661902255994,0.2299918048265605,0.2061889007896911,0.26005334769576216,0.1062251650929634,0.2533524035899404,0.3843565566814783,0.21564050833195383,0.1674373648951513,0.2558716008249523,0.17222610105242753,0.25535301892194084,0.053046080583552126,0.28856937561419294,0.14746268252786737,0.3401822604500042,0.15204667678934958,0.04024451381431751,0.02029300372775679,0.06680323866005076,0.07428593406834806,0.18911863911942045,0.01619483392713285,0.10409678312615588,0.11799800719184618,0.29097570991843874,0.05442648205723674,0.09551321812852341,0.1480684188141498,0.22118293383070528,0.11196249331048119,0.3723448790913789,0.20097969032181504,0.39272836635491554,0.0461181489515629,0.10381695799035635,0.23679851320478834,0.2831168175438605,0.25147802230859784,0.19464457417466804,0.18072406737236077,0.1560978669252193,0.21506160169561148,0.1724419821770338,0.20930569645587516,0.23187656863181488,0.01880673653613237,0.25022133556781484,0.0070020529911629485,0.09586720948971966,0.10165958095987054,0.09929243668490895,0.11836028663822785,0.1641395710921082,0.1065052925995734,0.21767001600336286,0.3646565124672681,0.15843415885532872,0.1413397214082657,0.1160495678527036,0.2410678569174063,0.10400438889143776,0.06116488837469612,0.0833021474195762,0.2076687575652716,0.1533589328418633,0.29113334179653005,0.313088591553577,0.2643275038458897,0.1439990609030423,0.1655037572083437,0.11333762890748157,0.0674942403805412,0.10176929081989937,0.20387274223280052,0.13958753267635812,0.2650252035391302,0.1307828254181335
2023-02-09,0.18888631076278775,0.23579720418686623,0.20261561641657538,0.2735515504665033,0.24690777106604492,0.3006591282402222,0.14439150631579656,0.29543875951367565,0.4300576430359389,0.2611927517277486,0.20951632113407267,0.2979635576255417,0.2227591217547657,0.29683446599372115,0.09145506066171775,0.3310916869563698,0.1877988884628097,0.38528964284391876,0.20384593554766098,0.08116531282820896,0.04959366867565323,0.1072657091886145,0.11779984184569516,0.23298626411929185,0.046801007809715287,0.1522267771654281,0.16830335801145407,0.3344383899272071,0.09064627916089428,0.13348591022792797,0.1994658660792476,0.26448680815605624,0.15165830273609496,0.41938238098251013,0.24070050494970877,0.43969433217442966,0.09197556562076457,0.14876520186732234,0.28078607395017685,0.3266818656584858,0.2980556299258361,0.23484875232312136,0.22304710005879352,0.19485866150964562,0.2556423090891017,0.21297032361548496,0.25188239745216967,0.2729151531136567,0.04958398328371071,0.2950282599814141,0.023612451041245448,0.13610385523768256,0.15008346324156496,0.14245185841562247,0.16854971118394493,0.2105581665371049,0.15214202694840234,0.2622766363738513,0.4095869817950059,0.20326303089712403,0.1849180652332529,0.16284485404034899,0.2829641517067998,0.14228570930283727,0.09440502304696331,0.1285261952233706,0.24581733433041802,0.19031338809650328,0.3343652761095257,0.35657390734842187,0.30944947366531744,0.182356151369495,0.21333674933604121,0.15320801532269235,0.1023760825575915,0.13781715155826124,0.24488387090649794,0.17652641140867206,0.30797738074470865,0.1703630020957744
2023-02-10,0.14567153858147602,0.2205631918270584,0.16116624132631469,0.2591795689052001,0.23421546716936253,0.285273564723843,0.13236511821468433,0.28224105012998857,0.41030222875718886,0.24197128384567657,0.1966342543234397,0.28123023568833677,0.18972658090534206,0.28055887841192534,0.06052821479517118,0.31470518731879993,0.17427534398967234,0.36911907510151437,0.16174659505022787,0.0477156300413985,0.03204112283925413,0.09342187279343023,0.07950320535747979,0.2144503298102823,0.038805623565270585,0.11527351589290213,0.1283285197587612,0.31612776215360383,0.08150169771750299,0.12073960270165117,0.1581160626982416,0.2463403172394621,0.13719157778136232,0.39832814632945174,0.22647947201341867,0.41868383853327595,0.053528260569639045,0.10682038724849288,0.2656028266713493,0.30826539653334106,0.27842950159609564,0.21986922408660542,0.20660601446078286,0.1813283134742149,0.24028195589050227,0.20094593337685884,0.2386846182230431,0.26024618639534464,0.044948593004765156,0.2775765467536393,0.023518028221493858,0.12371137322835773,0.10675470696547731,0.12056473413375147,0.13147699851784622,0.188327287114608,0.13280470288602264,0.24740607341013826,0.3902144174127583,0.18707154537875792,0.1691103422023321,0.1384004479724723,0.2662647279008647,0.1292330657118375,0.06822862215615703,0.1092364462080865,0.23289656105684448,0.17857149357160612,0.32028175593421726,0.34245035204914986,0.2894137490752005,0.1692282201772393,0.19296135937435188,0.1415856849807059,0.07356033218316874,0.12696127005637015,0.2323674477715484,0.1647995988770123,0.2949771920956026,0.1590398100608834
2023-02-11,0.2040845049648833,0.01882211219680055,0.1870176030281711,0.15101589441345553,0.13254124734475625,0.0633944866609075,0.08244526458706361,0.16332351661536093,0.1321212208552266,0.09856693175003639,0.1349408685154438,0.10017227189686034,0.1893705715703641,0.09656125698140242,0.12853607786048835,0.11969113849348696,0.09604400453013016,0.174892182748995,0.20261268940304167,0.11709937160825463,0.09348844213010048,0.07130638506866933,0.147704278003468,0.08317643469585399,0.08059009556260911,0.16741318391660226,0.17509536506084794,0.08466567481810391,0.08304250327996095,0.0007250576425307366,0.19421099598049807,0.06626284452602578,0.057217528373636146,0.12743638451822012,0.0952110443533961,0.13162461132961575,0.12232636874013424,0.17498991782295228,0.14292743932322213,0.09625700057941707,0.1110675602072422,0.0019836379928834433,0.09110080572849466,0.0,0.008621238677745625,0.1318389229925609,0.15476374293501768,0.1895359326222405,0.07603729756699384,0.12002469897936713,0.07509580710046675,0.09274234351309156,0.1722981829042917,0.1414999846845641,0.1644878151283714,0.173682833350685,0.13289839395045486,0.15060904981606543,0.12411519696230891,0.1518366921658586,0.15079972993462118,0.14804122410714454,0.07154570052069856,0.0,0.1359433138525641,0.120070297248843,0.031969942452219395,0.03230778109643165,0.17658015696847384,0.192348098435483,0.06436660078495285,0.014110243881585128,0.16462536138587586,0.10681128104740656,0.14169951705226339,0.03497357606382815,0.17322977983029475,0.0,0.19436615662805107,0.11551747520638378
2023-02-12,0.23163100835311978,0.11513002019754064,0.2196112325446394,0.23440712132151867,0.20255804871374838,0.17261104870887717,0.12014671506652987,0.2532481358749354,0.28654579757641757,0.18211114621650148,0.1913837017582226,0.19924035975445314,0.2307654129405276,0.19592219320849827,0.12085822267741266,0.23108457315536485,0.1489729325885371,0.30667670183238577,0.22987578392767874,0.11189269053830933,0.08872700477629096,0.10072345480085385,0.15209142808183895,0.15836743991843494,0.07766885205646432,0.17363024760410348,0.18869284895916252,0.20090431586705235,0.0964639174774762,0.062117759242280336,0.21855939443333977,0.15733707329006877,0.10784522874706598,0.2759361764756011,0.17079478037132043,0.2889921418177488,0.1244763869080106,0.19649619760175355,0.23013477188910084,0.20773370824998294,0.20868194546058408,0.09753807038856847,0.1604857967385057,0.057226713906254445,0.11470087600808285,0.18673224853392434,0.2270611610050169,0.2603367627316889,0.08005326027251757,0.21520805597381315,0.06633588679435885,0.12599693376556267,0.18894704539445056,0.15005662905138678,0.18330791322554804,0.21006207045930675,0.1600591959867914,0.23142544754264072,0.2700899745812537,0.20149187440353228,0.18288737556507265,0.17029722363619246,0.16972611869755622,0.059172445051474634,0.13730966125885202,0.14230332643538135,0.13151460489640812,0.10903324073844867,0.28484968236031855,0.30756475379290626,0.17084367632200637,0.09340079976874932,0.21210467030385752,0.1428011626656342,0.1470070586247457,0.08847599758504499,0.23415161242652655,0.071876790928267,0.28876194486125173,0.15574320022536667
